Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code
Beitun,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659005
Bengbu,Anhui,30.9231,93.65622953777766,248,751.1191424022813,62.22648,66.27243,48.404,340300
Benxi,Liaoning,37.13,37.12505371723249,408.4,408.41508095969743,34.556,35.928,45.66,210500
Bijie,Guizhou,52.2089,78.14019419377118,962.88,640.9587408640892,115.2,117.2,18.8876,520500
Binhai,Tianjin,NA,821.0846233958474,348.2,1175.5667492102873,211.419,218.102,74.44,120116
Binzhou,Shandong,40.3,54.64454014102482,145.67,197.50674684813035,119.904,124.34,57.23,371600
Bishan,Chongqing,20.96,41.33604143330257,121.92,240.43723462388687,19.305,19.32,64.16,500120
Bortala,Xinjiang,56.86,92.89712181119462,447.86,731.7224479408013,27.387,28.967,27.27,652700
Bozhou,Anhui,39.91,110.75743858636687,566.14,1571.191344888933,83.86851,90.33998,38.4863,341600
Cangzhou,Hebei,18.37,44.3618691724215,172.03,415.4528764163732,80.61,87.063,44.7,130900
Changchun,Jilin,34.4,88.43702640335675,195.68,503.122938306662,231.985,246.801,47.07,220100
Changde,Hunan,21.59,66.13950334204702,86.26,264.1982908152475,92.305,92.481,32.97,430700
Changji,Xinjiang,25.25,44.43704845628066,205.48,361.6033358346274,54.784000000000006,60.307,61.58,652300
Changjiang Li,Hainan,23.19,23.191951122168764,187.72,187.6807712908409,3.504,3.504,38.3,469026
Changning,Shanghai,NA,NA,48.87,116.53688203392409,9.321,13.02,89.62,310105
Changping,Beijing,63.88,89.43629138897693,310.35,434.5137110608789,83.041,83.08500000000001,50.35,110114
Changsha,Hunan,20.55,117.69249518533933,125.92,721.281307811731,286.952,287.118,77.61,430100
Changshou,Chongqing,18.16,127.20192993612018,160.92,1127.1119208963055,16.681,16.688,55.32,500115
Changzhi,Shanxi,NA,NA,NA,NA,NA,NA,63.66,140400
Changzhou,Jiangsu,16.83,101.63229056323809,77.94,470.5704150625328,160.764,164.919,83.17,320400
Chaoyang,Beijing,11.52,17.481530562958845,108.12,164.08015920377753,91.134,115.358,89.45,110105
Chaoyang,Liaoning,26.06,26.245870617799,224.14,225.70995042964563,25.932,28.115,25.73,211300
Chaozhou,Guangdong,26.0358,27.9560017614282,694.57,517.9939260514923,34.18444,34.18493,22.902,445100
Chengde,Hebei,38.6,46.33914006197057,430.42,516.7759013864562,68.71000000000001,79.401,28.56,130800
Chengdu,Sichuan,22.29,239.63433826554672,88.35,949.7748333316868,464.05,501.23,70.74,510100
Chengdu,Tibet,23.86,23.854785478547853,281.58,281.5738215816128,7.228,7.503,7.71,NA
Chengkou,Chongqing,147.8,158.28273156175538,1060.02,1134.6732897145946,9.8,9.8,16.88,500229
Chengmai,Hainan,NA,NA,NA,NA,NA,NA,50.65,469023
Chenzhou,Hunan,34.47,71.91876120320416,135.69,283.1436071146556,102.724,103.537,35.28,431000
Chifeng,Inner Mongolia,28.13,45.86004919682089,530.68,865.247472507684,60.429,NA,19.95,150400
Chizhou,Anhui,29.2,44.496796650653685,284.9,432.4491938760283,31.49,34.172000000000004,41.7328,341700
Chongming,Shanghai,104.82,104.81921618204804,193.41,193.4123355416628,41.456,42.65,38.48,310151
Chongzuo,Guangxi,36.16,55.36442437258094,118.82,181.9448615150483,39.084,39.871,16.09,451400
Chuxiong,Yunnan,26.48,32.07644282932029,532.15,644.5332818377392,46.7,NA,30.93,532300
Chuzhou,Anhui,29.3102,68.1940602476676,225.78,525.6898515782193,105.81,111.67,54.7215,341100
Da Hinggan Ling,Heilongjiang,25.46,25.464285714285715,302.76,302.76008492569,4.2780000000000005,4.394,11.93,NA
Dadukou,Chongqing,30.39,84.70656575729588,559.54,1559.2725730304182,10.3,10.3,47.81,500104
Dali,Yunnan,37.66,43.36151279411869,662.7,763.1572369798074,64,NA,23.31,532900
Dalian,Liaoning,30.19,40.78008055912418,243.18,328.52958489653327,254.49,273.314,68.13,210200
Dandong,Liaoning,38.67,39.12160132480072,374.66,379.0450375285544,34.441,35.491,29.35,210600
Danzhou,Hainan,29.92,33.76965596759622,120.37,135.8448267771313,26.3,NA,36.8768,460400
Daqing,Heilongjiang,11.36,21.545951263083047,74.46,141.22961342468307,33.948,34.695,49.76,230600
Datong,Shanxi,NA,NA,NA,NA,NA,NA,NA,140200
Daxing,Beijing,NA,NA,517.1,964.7618383844854,116.258,127.16400000000002,NA,110115
Dazhou,Sichuan,34.79,66.58272379625205,580.18,1110.3923691935763,87.07000000000001,89.78999999999999,31.11,511700
Dazu,Chongqing,19.94,174.6831808561062,97.05,850.4175824830812,16.291,16.3,42.74,500111
Dehong,Yunnan,51.17,58.66515600151588,130.62,149.76079999830426,30.042,32.202,15.92,533100
Deqen,Yunnan,39.75,39.754746835443044,569.76,569.6740670760511,12.06,13.438999999999998,10.22,NA
Deyang,Sichuan,22.37,54.99801899218991,103.59,254.7267626211052,63.001,67.064,44.67,510600
Dezhou,Shandong,31.06,48.736530768481465,235.52,369.5623015840917,112.839,115.776,42.53,371400
Dianjiang,Chongqing,23.43,43.732575737377736,111.2,207.5204973350921,12.434,12.44,32.3,500231
Ding'an,Hainan,NA,30.741157339054546,NA,389.9603535144958,3.777,3.777,19.0601,469021
Dingxi,Gansu,51.3,57.059846165307484,601.11,668.5300287906342,28.622000000000003,29.657,9.85,621100
Dongcheng,Beijing,NA,NA,73.08,73.07732172470978,14.101,14.665,77.34,110101
Dongfang,Hainan,NA,48.28672084377972,NA,156.87660975246675,11.17065,11.17066,19.4,469007
Dongguan,Guangdong,11.9685,20.192410361851277,111.64,188.35800584996255,134.05088,137.66637,88.71,441900
Dongli,Tianjin,92.97,259.6935976444311,999.71,2792.254479896309,63.915,64.76599999999999,77.92,120110
Dongying,Shandong,20.5748,29.13138206550871,197.69,280.2721175938198,74.49614,75.155,71.2099,370500
Enshi,Hubei,36.8518,45.14059231681643,374.3,458.4866016438434,51.67366,54.63975000000001,18.11,422800
Ezhou,Hubei,27.8,55.54339665042109,273.17,545.7027599587444,35.159,35.929,62.62,420700
Fangchenggang,Guangxi,26.16,40.619494914955375,574.83,892.4857157800725,25.327,26.401,29.3,450600
Fangshan,Beijing,61.85,61.85155070275293,336.33,336.3314805457302,53.248000000000005,57.928,38.47,110111
Fengdu,Chongqing,32.19,89.94376966809827,141.39,395.1404355466083,12.59,12.6,38.62,500230
Fengjie,Chongqing,27.19,74.87634404414928,111.33,306.5873301921683,10.746,10.76,25.29,500236
Fengtai,Beijing,63.16,65.16580097257736,323.38,333.6615884703984,130.219,133.933,58.32,110106
Fengxian,Shanghai,36.66,61.82885457137037,129.48,218.37363281623632,49.492,50.07,66.06,310120
Foshan,Guangdong,17.94,24.08396554651574,167.46,224.84016119410376,227.781,249.247,78.038,440600
Fuling,Chongqing,15.52,72.94733473926627,175.43,824.3673524767878,23.352,23.354,49.75,500102
Fushun,Liaoning,44.8,44.80004311738709,567.77,567.7732240437159,41.561,43.782,34.9,210400
Fuxin,Liaoning,32.35,32.34723905141077,379.96,380.59063136456217,18.687,19.387,27.85,210900
Fuyang,Anhui,42.829,95.64712803311475,749.33,1675.275509585428,138.47899999999998,148.56400000000002,29.6594,341200
Fuzhou,Fujian,14.9454,62.27045824472812,92.0759,383.6372845980897,183.95131779,200.0745,69.8586,350100
Fuzhou,Jiangxi,38.2562,85.50276595037573,238.84,533.8078920817932,74.432,79.663,25.88,361000
Gannan,Gansu,NA,NA,NA,NA,NA,NA,4.46,623000
Ganzhou,Jiangxi,35.164,137.036812866742,260.95,1017.102838138052,159.06900000000002,173.357,30.9596,360700
Garze,Sichuan,26.47,26.473704284442935,29.61,29.606635071090047,12.494,13.287,11.56,NA
Golog,Qinghai,NA,57.34800447594181,NA,1045.9183673469388,3.075,3.2990000000000004,NA,632600
Guang'an,Sichuan,39.39,56.437111537213525,269.87,386.6353188921687,56.135000000000005,58.022000000000006,29.41,511600
Guangyuan,Sichuan,42.4,77.37755201475724,349.61,638.0653033958907,48.325,50.634,20.18,510800
Guangzhou,Guangdong,16.1435,44.35994431226013,92.4327,253.9913077315424,465.56247,505.1349,59.0911,440100
Guigang,Guangxi,20.4,31.98313710859997,458.11,718.1929702675333,32.073,32.754000000000005,22.82,450800
Guilin,Guangxi,27.3,227.61191385868008,99.51,829.7499389087644,66.489,67.399,26.89,450300
Guiyang,Guizhou,52.9188,218.52169979479677,212.7,878.3167091409726,260.42221,264.87330000000003,55.361,520100
Guyuan,Ningxia,49.37,49.36779925795743,70.16,70.16235343093041,20.225,NA,5.59,640400
